Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Equatorial Guinea,Africa,16801,1197.518,12,0.855,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Samoa,Western Pacific,15405,7764.069,0,0,0,29,14.616,0,0,0
Nicaragua,Americas,14899,224.906,27,0.408,27,244,3.683,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Central African Republic,Africa,14802,306.474,0,0,0,113,2.34,0,0,0
Monaco,Europe,14299,36436.143,66,168.179,5,61,155.438,0,0,0
Tonga,Western Pacific,14135,13373.386,1299,1229.008,730,12,11.353,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,12948,22495.961,82,142.467,0,39,67.759,1,1.737,0
Gambia,Africa,12238,506.4,0,0,0,368,15.228,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11903,39.908,0,0,0,2152,7.215,0,0,0
Saint Martin,Americas,11857,30670.736,83,214.698,0,46,118.989,0,0,0
Vanuatu,Western Pacific,11753,3826.531,19,6.186,0,14,4.558,0,0,0
Sint Maarten,Americas,10809,25206.38,44,102.607,44,87,202.882,0,0,0
Eritrea,Africa,10137,285.837,11,0.31,0,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9405,8477.555,9,8.112,0,115,103.66,0,0,0
Bonaire,Americas,9219,44078.413,76,363.376,76,30,143.438,0,0,0
Niger,Africa,9139,37.754,7,0.029,0,311,1.285,0,0,0
Antigua and Barbuda,Americas,8851,9038.181,42,42.888,31,144,147.045,0,0,0
Guinea-Bissau,Africa,8482,430.996,0,0,0,174,8.841,0,0,0
Comoros,Africa,8374,962.97,6,0.69,0,160,18.399,0,0,0
American Samoa,Western Pacific,8042,14569.632,82,148.559,0,33,59.786,0,0,0
Sierra Leone,Africa,7741,97.042,1,0.013,0,125,1.567,0,0,0
Liberia,Africa,7656,151.374,0,0,0,294,5.813,0,0,0
Chad,Africa,7456,45.392,14,0.085,0,193,1.175,0,0,0
Micronesia (Federated States of),Western Pacific,7191,6251.793,127,110.413,17,21,18.257,3,2.608,0
British Virgin Islands,Americas,7131,23583.689,0,0,0,63,208.354,0,0,0
Saint Kitts and Nevis,Americas,6493,12206.723,13,24.44,1,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6338,16369.647,10,25.828,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6265,35669.551,130,740.15,24,1,5.693,0,0,0
Sao Tome and Principe,Africa,6120,2792.493,0,0,0,76,34.678,0,0,0
Marshall Islands,Western Pacific,5468,9237.423,5344,9027.942,1391,6,10.136,5,8.447,1
Palau,Western Pacific,5246,28996.241,5,27.637,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5208,52685.888,31,313.606,0,5,50.582,0,0,0
Nauru,Western Pacific,4608,42532.767,4,36.921,0,1,9.23,0,0,0
Anguilla,Americas,3746,24970.004,126,839.888,126,10,66.658,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3131,54029.336,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1881,54005.168,14,401.952,14,0,0,0,0,0
Sint Eustatius,Americas,1166,37145.588,7,223.001,7,5,159.286,0,0,0
Montserrat,Americas,1097,21944.389,20,400.08,0,8,160.032,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,706,36523.539,9,465.598,9,2,103.466,0,0,0
Niue,Western Pacific,60,3708.282,2,123.609,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,8,67.843,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
